feature,gain,weight,cover,gain_normalized
MagpieData minimum NUnfilled,8.049450874328613,883.0,2889.346435546875,0.0020186307467530583
MagpieData avg_dev NdUnfilled,7.89049768447876,1580.0,10519.1123046875,0.0019787686740061206
MagpieData mode Column,7.8077392578125,139.0,6371.97119140625,0.001958014624167242
MagpieData mean GSvolume_pa,7.803741931915283,5090.0,13754.1943359375,0.0019570121800146045
MagpieData mean NfValence,7.759210109710693,978.0,2675.7607421875,0.0019458445479718007
MagpieData avg_dev NUnfilled,7.628115653991699,6028.0,8857.767578125,0.001912968852079652
MagpieData range SpaceGroupNumber,7.419775009155273,1628.0,3579.3642578125,0.001860721458060958
MagpieData range NpValence,7.146936893463135,158.0,13421.65234375,0.0017922994727825824
MagpieData minimum MendeleevNumber,7.098360538482666,3519.0,3933.364990234375,0.0017801175581079439
MagpieData range NsValence,7.092548847198486,62.0,63810.58203125,0.0017786601097800963
MagpieData avg_dev GSvolume_pa,6.959683895111084,5200.0,7301.27685546875,0.001745340411127749
MagpieData range GSvolume_pa,6.767160892486572,2120.0,9183.7998046875,0.0016970597447043424
MagpieData mean NfUnfilled,6.4780964851379395,620.0,6444.8369140625,0.0016245685512582342
MagpieData maximum Number,6.385410308837891,8749.0,3421.754150390625,0.0016013248333699801
MagpieData mode NpUnfilled,6.359811305999756,123.0,3965.666748046875,0.001594905148968889
MagpieData mode SpaceGroupNumber,6.2711334228515625,269.0,13322.888671875,0.0015726666255870254
vpa,6.1566290855407715,16240.0,5383.62548828125,0.0015439513778588473
MagpieData mean AtomicWeight,6.1490960121154785,2523.0,15181.3623046875,0.0015420622435723904
MagpieData avg_dev NfValence,6.136950969696045,642.0,21425.97265625,0.001539016525742535
MagpieData avg_dev SpaceGroupNumber,5.999863624572754,7392.0,8822.982421875,0.0015046379408953164
MagpieData avg_dev MeltingT,5.990767478942871,6426.0,5157.091796875,0.0015023568214087705
MagpieData range MendeleevNumber,5.9078145027160645,3286.0,6853.06396484375,0.0014815539826859275
MagpieData minimum Electronegativity,5.73693323135376,1519.0,11878.6962890625,0.0014387006012812024
MagpieData avg_dev NsUnfilled,5.5951247215271,437.0,32924.8359375,0.0014031380489336542
density,5.474898815155029,14560.0,3087.108154296875,0.0013729879536106414
MagpieData avg_dev Row,5.42672061920166,3428.0,7403.1025390625,0.0013609058887352934
MagpieData range Number,5.2353515625,3318.0,4622.18603515625,0.0013129146073589323
MagpieData avg_dev AtomicWeight,5.1696457862854,2546.0,9594.2890625,0.0012964369988640386
MagpieData avg_dev MendeleevNumber,4.917651176452637,6041.0,5491.46044921875,0.001233242120683372
MagpieData mode Number,4.773722171783447,744.0,2806.629150390625,0.0011971477934167281
MagpieData avg_dev CovalentRadius,4.520097255706787,5404.0,8975.34765625,0.001133544069171661
MagpieData mean MendeleevNumber,4.4453864097595215,7383.0,7816.0810546875,0.0011148081810844306
MagpieData maximum SpaceGroupNumber,4.2363386154174805,694.0,6529.697265625,0.0010623834490389725
MagpieData mode NpValence,4.168951988220215,9.0,12908.888671875,0.0010454843189362957
packing fraction,3.5761823654174805,10687.0,6617.4140625,0.000896830329364539
MagpieData avg_dev Number,3.479379892349243,5153.0,3344.0380859375,0.0008725543319644584
MagpieData mode NsUnfilled,3.290980339050293,15.0,6558.2001953125,0.0008253077387618478
MagpieData minimum NpValence,3.2743635177612305,26.0,70766.421875,0.0008211405940843917
MagpieData range Row,3.11093807220459,230.0,26807.9296875,0.0007801569749092553
MagpieData minimum NpUnfilled,3.0142102241516113,116.0,13563.8876953125,0.0007558996918727542
MagpieData mean Number,2.952692747116089,8379.0,4036.8359375,0.0007404724195599782
MagpieData mode AtomicWeight,2.4741647243499756,35.0,345.1714172363281,0.0006204677888069277
MagpieData mode NUnfilled,2.33301043510437,62.0,23314.322265625,0.0005850693010397706
MagpieData maximum NsValence,2.2321829795837402,4.0,12954.5,0.0005597839238123711
MagpieData minimum Number,2.1406095027923584,5504.0,329.5583190917969,0.0005368192472494398
MagpieData minimum NsUnfilled,1.8647806644439697,2.0,1360.5,0.0004676472524607049
MagpieData mode NsValence,1.6978998184204102,24.0,21840.875,0.0004257970924825042
MagpieData mode NValence,1.3662735223770142,32.0,17296.03125,0.00034263228433888446
MagpieData maximum Row,1.3064638376235962,2.0,187.0,0.00032763328993767605
MagpieData range NsUnfilled,1.1634893417358398,1.0,1124.0,0.0002917783331329839
MagpieData minimum Row,0.907942533493042,1.0,63.0,0.00022769263928786856
MagpieData mode NfUnfilled,0.8684778213500977,2.0,82213.0,0.00021779573046920944
MagpieData mode NdValence,0.7170847058296204,4.0,30.75,0.00017982956326008747
MagpieData minimum NdValence,0.5499730110168457,17.0,66138.9375,0.00013792151132490288
MagpieData mode NfValence,0.48950669169425964,4.0,5095.75,0.00012275784696652621
MagpieData minimum NdUnfilled,0.11597291380167007,1.0,145.0,2.9083535416957202e-05
MagpieData minimum NfValence,0.0,0.0,0.0,0.0
MagpieData mode Row,0.0,0.0,0.0,0.0
MagpieData mode GSmagmom,0.0,0.0,0.0,0.0
MagpieData minimum GSmagmom,0.0,0.0,0.0,0.0
MagpieData mode NdUnfilled,0.0,0.0,0.0,0.0
MagpieData minimum NfUnfilled,0.0,0.0,0.0,0.0
