epoch,step,test_MAE,test_R2,test_RMSE,test_loss,train_MAE,train_R2,train_RMSE,train_loss,val_MAE,val_R2,val_RMSE,val_loss
0,23,,,,,,,,,2.451305389404297,-10.661402702331543,2.5268211364746094,6.387447834014893
1,47,,,,,,,,,1.904666781425476,-6.285820007324219,2.0000205039978027,4.00277853012085
2,49,,,,,1.8107819557189941,-6.723728179931641,1.8664153814315796,3.483506202697754,,,,
2,71,,,,,,,,,1.5310837030410767,-3.9932749271392822,1.658552646636963,2.753643751144409
3,95,,,,,,,,,1.1256539821624756,-1.93480384349823,1.2773312330245972,1.6367565393447876
4,99,,,,,1.1267120838165283,-1.9282171726226807,1.331936240196228,1.7740540504455566,,,,
4,119,,,,,,,,,0.8213028907775879,-0.7906413674354553,1.0032860040664673,1.01456618309021
5,143,,,,,,,,,0.5374186038970947,-0.00015984247147571295,0.7546390891075134,0.5785722732543945
6,149,,,,,0.6050757169723511,0.1300123929977417,0.849380612373352,0.7214474678039551,,,,
6,167,,,,,,,,,0.4392932653427124,0.21390914916992188,0.6724004149436951,0.4665979743003845
7,191,,,,,,,,,0.37132295966148376,0.3517954349517822,0.6105223894119263,0.3830033838748932
8,199,,,,,0.4308873414993286,0.21993380784988403,0.676163911819458,0.4571976065635681,,,,
8,215,,,,,,,,,0.31716498732566833,0.4621945023536682,0.5576688647270203,0.3247145414352417
9,239,,,,,,,,,0.31594541668891907,0.46326830983161926,0.5570183992385864,0.32256019115448
10,249,,,,,0.43286973237991333,0.3542240262031555,0.6063569188117981,0.36766868829727173,,,,
10,263,,,,,,,,,0.3418278396129608,0.42626845836639404,0.5760165452957153,0.3455580770969391
11,287,,,,,,,,,0.3168749511241913,0.46477270126342773,0.5559545755386353,0.3206241726875305
12,299,,,,,0.44988566637039185,0.28961873054504395,0.6832111477851868,0.4667774438858032,,,,
12,311,,,,,,,,,0.3123171329498291,0.4745427370071411,0.551331102848053,0.316568523645401
13,335,,,,,,,,,0.31403741240501404,0.4670882523059845,0.5551009774208069,0.32084450125694275
14,349,,,,,0.4092811942100525,0.40116894245147705,0.5473656058311462,0.29960912466049194,,,,
14,359,,,,,,,,,0.3490382432937622,0.408708781003952,0.5851939916610718,0.35809996724128723
15,383,,,,,,,,,0.32873430848121643,0.4700058102607727,0.5541853904724121,0.3227176368236542
16,399,,,,,0.415490984916687,0.38495051860809326,0.5448448061943054,0.2968558669090271,,,,
16,407,,,,,,,,,0.313919335603714,0.48869454860687256,0.544050931930542,0.30958420038223267
17,431,,,,,,,,,0.31172817945480347,0.4839194118976593,0.5463768243789673,0.31253015995025635
18,449,,,,,0.3942044675350189,0.4444499611854553,0.5697149038314819,0.3245750665664673,,,,
18,455,,,,,,,,,0.3146965801715851,0.4734647572040558,0.552204430103302,0.31983816623687744
19,479,,,,,,,,,0.31229427456855774,0.49343204498291016,0.5412654280662537,0.30555862188339233
20,499,,,,,0.3830132484436035,0.503646731376648,0.4973735511302948,0.24738043546676636,,,,
20,503,,,,,,,,,0.3063426911830902,0.4865979254245758,0.5456709861755371,0.3141207993030548
21,527,,,,,,,,,0.3029947578907013,0.511519193649292,0.5319026112556458,0.29749780893325806
22,549,,,,,0.4062029719352722,0.4515436291694641,0.6797183752059937,0.4620170593261719,,,,
22,551,,,,,,,,,0.31876009702682495,0.4739890992641449,0.5521445274353027,0.32092881202697754
23,575,,,,,,,,,0.3146476745605469,0.48000574111938477,0.5487185716629028,0.3158058524131775
24,599,,,,,0.39718085527420044,0.43580299615859985,0.5222427248954773,0.27273744344711304,,,,
24,599,,,,,,,,,0.3245408236980438,0.4583280384540558,0.5606210827827454,0.3323679268360138
25,623,,,,,,,,,0.2999929189682007,0.5064817667007446,0.5348746180534363,0.3018453121185303
26,647,,,,,,,,,0.3140212595462799,0.49774447083473206,0.5393393635749817,0.30491000413894653
27,649,,,,,0.4081663489341736,0.4515511989593506,0.5755748152732849,0.33128640055656433,,,,
27,671,,,,,,,,,0.31262028217315674,0.4856637418270111,0.5457324385643005,0.3113040626049042
28,695,,,,,,,,,0.315755158662796,0.48998531699180603,0.5435850620269775,0.31017616391181946
29,699,,,,,0.42779862880706787,0.3085119128227234,0.6206375360488892,0.3851909637451172,,,,
29,719,,,,,,,,,0.3142224848270416,0.48797640204429626,0.5450129508972168,0.3145767152309418
30,743,,,,,,,,,0.30692291259765625,0.5015464425086975,0.5377323627471924,0.30673059821128845
31,749,,,,,0.4344693720340729,0.5520128011703491,0.6162476539611816,0.3797611594200134,,,,
31,767,,,,,,,,,0.3474976420402527,0.4225674569606781,0.5783177018165588,0.349948525428772
32,791,,,,,,,,,0.3087955117225647,0.4911186993122101,0.5428526997566223,0.30815356969833374
33,799,,,,,0.356766939163208,0.4545106291770935,0.5092841386795044,0.259370356798172,,,,
33,815,,,,,,,,,0.2966819703578949,0.5082558393478394,0.5332871079444885,0.2988143265247345
34,839,,,,,,,,,0.3077412545681,0.5072387456893921,0.5341609716415405,0.30011603236198425
35,849,,,,,0.38381093740463257,0.49472397565841675,0.5304276943206787,0.28135353326797485,,,,
35,863,,,,,,,,,0.3039710223674774,0.4968779385089874,0.539851725101471,0.30684781074523926
