epoch,step,test_MAE,test_R2,test_RMSE,test_loss,train_MAE,train_R2,train_RMSE,train_loss,val_MAE,val_R2,val_RMSE,val_loss
0,22,,,,,,,,,2.4407105445861816,-10.342281341552734,2.5108602046966553,6.305340766906738
1,45,,,,,,,,,1.9162111282348633,-6.2969560623168945,2.0144176483154297,4.059744834899902
2,49,,,,,1.7978577613830566,-6.52882194519043,1.8574978113174438,3.450298309326172,,,,
2,68,,,,,,,,,1.5396367311477661,-3.8301353454589844,1.6387804746627808,2.687115430831909
3,91,,,,,,,,,1.1704641580581665,-2.0065290927886963,1.2929930686950684,1.6726834774017334
4,99,,,,,1.0884990692138672,-1.4872205257415771,1.2422276735305786,1.543129563331604,,,,
4,114,,,,,,,,,0.8282137513160706,-0.7710332870483398,0.9924394488334656,0.9855205416679382
5,137,,,,,,,,,0.580725908279419,-0.06238415837287903,0.7685727477073669,0.5919567346572876
6,149,,,,,0.4958776831626892,0.022686541080474854,0.6773465871810913,0.4587984085083008,,,,
6,160,,,,,,,,,0.43764784932136536,0.2535988688468933,0.644221305847168,0.415760338306427
7,183,,,,,,,,,0.35876697301864624,0.38719871640205383,0.5832984447479248,0.3415223956108093
8,199,,,,,0.4012320935726166,0.4227660298347473,0.532476544380188,0.2835312485694885,,,,
8,206,,,,,,,,,0.3350130319595337,0.46541738510131836,0.5451395511627197,0.2977461516857147
9,229,,,,,,,,,0.34426093101501465,0.46696406602859497,0.54410320520401,0.29708755016326904
10,249,,,,,0.43585291504859924,0.46567481756210327,0.6025185585021973,0.3630286455154419,,,,
10,252,,,,,,,,,0.33105114102363586,0.48557156324386597,0.5345408320426941,0.2867770195007324
11,275,,,,,,,,,0.33271607756614685,0.47522643208503723,0.539990246295929,0.29243168234825134
12,298,,,,,,,,,0.32646098732948303,0.5083050727844238,0.5226544737815857,0.27387574315071106
13,299,,,,,0.35803085565567017,0.46307146549224854,0.4756598174571991,0.2262522578239441,,,,
13,321,,,,,,,,,0.3246295154094696,0.4823192358016968,0.5362467765808105,0.2888420820236206
14,344,,,,,,,,,0.31644830107688904,0.507186233997345,0.5233145356178284,0.27478575706481934
15,349,,,,,0.4297294616699219,0.35946983098983765,0.5900592803955078,0.3481699526309967,,,,
15,367,,,,,,,,,0.3246121406555176,0.518326461315155,0.5169129967689514,0.2681627869606018
16,390,,,,,,,,,0.32733550667762756,0.5071819424629211,0.5233654975891113,0.27464139461517334
17,399,,,,,0.4109345078468323,0.42680805921554565,0.5874034762382507,0.3450428247451782,,,,
17,413,,,,,,,,,0.3257811367511749,0.5033159852027893,0.5252104997634888,0.2772173583507538
18,436,,,,,,,,,0.322509765625,0.5175721049308777,0.517747700214386,0.26860788464546204
19,449,,,,,0.3800249695777893,0.5533328652381897,0.5349830389022827,0.28620684146881104,,,,
19,459,,,,,,,,,0.3078092634677887,0.5371840000152588,0.5072637796401978,0.25779539346694946
20,482,,,,,,,,,0.3222419023513794,0.5164362788200378,0.5183366537094116,0.26956865191459656
21,499,,,,,0.400578111410141,0.37354135513305664,0.5859664082527161,0.3433566093444824,,,,
21,505,,,,,,,,,0.345233291387558,0.50001060962677,0.5271652936935425,0.2786406874656677
22,528,,,,,,,,,0.31639641523361206,0.5392717719078064,0.5060251355171204,0.2567838430404663
23,549,,,,,0.3756721615791321,0.4249374270439148,0.5282042622566223,0.2789997458457947,,,,
23,551,,,,,,,,,0.3211651146411896,0.5313560962677002,0.5100371241569519,0.26118189096450806
24,574,,,,,,,,,0.3181408643722534,0.5315159559249878,0.5101873278617859,0.26090937852859497
25,597,,,,,,,,,0.33422842621803284,0.5125188827514648,0.5203803777694702,0.2715098559856415
26,599,,,,,0.3658340275287628,0.49599409103393555,0.4804329574108124,0.2308158129453659,,,,
26,620,,,,,,,,,0.32240670919418335,0.5308976173400879,0.5104508996009827,0.2614375650882721
27,643,,,,,,,,,0.33182916045188904,0.5290769934654236,0.511552095413208,0.26216867566108704
28,649,,,,,0.36190372705459595,0.4691734313964844,0.5852787494659424,0.34255120158195496,,,,
28,666,,,,,,,,,0.3114587068557739,0.5491702556610107,0.5004315972328186,0.25134196877479553
29,689,,,,,,,,,0.31464633345603943,0.5177191495895386,0.5177215337753296,0.2687835693359375
30,699,,,,,0.34417104721069336,0.48676061630249023,0.4749975800514221,0.22562271356582642,,,,
30,712,,,,,,,,,0.3230624198913574,0.5379195809364319,0.5066612958908081,0.25748515129089355
31,735,,,,,,,,,0.3231070935726166,0.5388365387916565,0.5061452984809875,0.2567373216152191
32,749,,,,,0.3504485487937927,0.4339655637741089,0.4710281491279602,0.22186751663684845,,,,
32,758,,,,,,,,,0.33452674746513367,0.5166374444961548,0.5181412100791931,0.26946088671684265
33,781,,,,,,,,,0.3207627236843109,0.5474152565002441,0.501408576965332,0.25226837396621704
34,799,,,,,0.4003196954727173,0.4733735918998718,0.5194377303123474,0.2698155641555786,,,,
34,804,,,,,,,,,0.3141615092754364,0.5390179753303528,0.5054774284362793,0.25706470012664795
35,827,,,,,,,,,0.3076269328594208,0.5482453107833862,0.5005858540534973,0.25135815143585205
