epoch,step,train_MAE,train_R2,train_RMSE,train_loss,val_MAE,val_R2,val_RMSE,val_loss
0,49,0.5059314966201782,0.38333219289779663,0.6438835263252258,0.41458597779273987,,,,
0,99,0.35506993532180786,-0.03891253471374512,0.5348454713821411,0.286059707403183,,,,
0,149,0.27967914938926697,0.5811262130737305,0.4527546763420105,0.2049867957830429,,,,
0,185,,,,,0.4091779887676239,0.2834313213825226,0.594415545463562,0.3631964325904846
1,199,0.3233962953090668,0.4277271032333374,0.3660117983818054,0.1339646428823471,,,,
1,249,0.3859948515892029,0.059123873710632324,0.4968203008174896,0.24683040380477905,,,,
1,299,0.34871357679367065,0.45820629596710205,0.4251721203327179,0.1807713359594345,,,,
1,349,0.3396557867527008,0.33798372745513916,0.4560394883155823,0.20797200500965118,,,,
1,371,,,,,0.38741040229797363,0.48266834020614624,0.5036242604255676,0.2648347020149231
2,399,0.2853241562843323,0.5653839111328125,0.3849349319934845,0.14817491173744202,,,,
2,449,0.3353281021118164,0.47844403982162476,0.44292140007019043,0.1961793601512909,,,,
2,499,0.34742552042007446,0.3851592540740967,0.45015454292297363,0.20263910293579102,,,,
2,549,0.4053836166858673,0.0701138973236084,0.5542584657669067,0.30720242857933044,,,,
2,557,,,,,0.3541190028190613,0.5164580345153809,0.4850951135158539,0.24600960314273834
3,599,0.3183858096599579,0.6762550473213196,0.471012681722641,0.22185295820236206,,,,
3,649,0.4116068184375763,0.08763515949249268,0.9399093985557556,0.8834297060966492,,,,
3,699,0.3650292754173279,0.4778520464897156,0.5149371027946472,0.2651602327823639,,,,
3,743,,,,,0.3138684630393982,0.5276660323143005,0.48338884115219116,0.2444174438714981
4,749,0.33458173274993896,0.5016030073165894,0.6220641136169434,0.38696378469467163,,,,
4,799,0.20733754336833954,0.6973744630813599,0.27546438574790955,0.07588062435388565,,,,
4,849,0.3686806261539459,0.6875184774398804,0.45911717414855957,0.2107885777950287,,,,
4,899,0.31675809621810913,0.6251658201217651,0.46837928891181946,0.21937915682792664,,,,
4,929,,,,,0.31658342480659485,0.5367472171783447,0.468638151884079,0.23042748868465424
5,949,0.28396064043045044,0.7709699273109436,0.32708829641342163,0.10698674619197845,,,,
5,999,0.3239678740501404,0.5613481998443604,0.448188453912735,0.20087288320064545,,,,
5,1049,0.2329326719045639,0.8079218864440918,0.29582679271698,0.08751348406076431,,,,
5,1099,0.24219761788845062,0.7082377672195435,0.3360205292701721,0.11290979385375977,,,,
5,1115,,,,,0.3424663245677948,0.5182769298553467,0.4850115180015564,0.24640841782093048
6,1149,0.2728303074836731,0.638363778591156,0.40789905190467834,0.16638164222240448,,,,
6,1199,0.4767864942550659,0.6969496607780457,0.5698245763778687,0.3247000277042389,,,,
6,1249,0.26739925146102905,0.2177446484565735,0.3988271653652191,0.15906310081481934,,,,
6,1299,0.26980650424957275,0.6558185815811157,0.3830493986606598,0.1467268466949463,,,,
6,1301,,,,,0.36604762077331543,0.4875212609767914,0.493154376745224,0.25650331377983093
7,1349,0.22529105842113495,0.643384575843811,0.28700941801071167,0.08237440884113312,,,,
7,1399,0.3426138758659363,0.661800742149353,0.4511108994483948,0.20350104570388794,,,,
7,1449,0.3422817289829254,0.6009640693664551,0.43703603744506836,0.19100049138069153,,,,
7,1487,,,,,0.3110845685005188,0.5769233107566833,0.4552742838859558,0.21962480247020721
8,1499,0.2504864037036896,0.7478057146072388,0.32524755597114563,0.10578598082065582,,,,
8,1549,0.37237975001335144,0.6701281070709229,0.4987809956073761,0.24878248572349548,,,,
8,1599,0.3835369050502777,0.5268204212188721,0.5865449905395508,0.3440350294113159,,,,
8,1649,0.30254310369491577,0.4408918619155884,0.42422419786453247,0.17996618151664734,,,,
8,1673,,,,,0.2844322919845581,0.5934379696846008,0.44428551197052,0.21067208051681519
9,1699,0.2356056571006775,0.5060242414474487,0.3600323796272278,0.12962330877780914,,,,
9,1749,0.26933175325393677,0.7854677438735962,0.3558458387851715,0.12662625312805176,,,,
9,1799,0.3427717685699463,0.6366073489189148,0.4699344038963318,0.22083835303783417,,,,
9,1849,0.31254518032073975,0.6008638739585876,0.5976881980895996,0.3572311997413635,,,,
9,1859,,,,,0.418891966342926,0.40320494771003723,0.5379658341407776,0.3024698495864868
10,1899,0.17610575258731842,0.821266770362854,0.23651739954948425,0.055940479040145874,,,,
10,1949,0.3267466425895691,0.5190057754516602,0.48241978883743286,0.23272883892059326,,,,
10,1999,0.2523484528064728,0.589546799659729,0.46579235792160034,0.216962531208992,,,,
10,2045,,,,,0.2825219929218292,0.5680622458457947,0.45702698826789856,0.2230955809354782
11,2049,0.35847556591033936,0.48108166456222534,0.49708014726638794,0.24708867073059082,,,,
11,2099,0.43978333473205566,0.4620998501777649,0.5378046631813049,0.28923386335372925,,,,
11,2149,0.28420522809028625,0.6737525463104248,0.38102230429649353,0.14517799019813538,,,,
11,2199,0.21470704674720764,0.8091875314712524,0.2829841375350952,0.08008001744747162,,,,
11,2231,,,,,0.3102976977825165,0.5469187498092651,0.46930021047592163,0.2330312579870224
12,2249,0.18553851544857025,0.6203461289405823,0.26335859298706055,0.06935775279998779,,,,
12,2299,0.2995702028274536,0.5727320909500122,0.6393724083900452,0.40879708528518677,,,,
12,2349,0.22406381368637085,0.9315271973609924,0.2837478816509247,0.0805128663778305,,,,
12,2399,0.2699659466743469,0.6931218504905701,0.3941207230091095,0.15533113479614258,,,,
12,2417,,,,,0.306662380695343,0.5729968547821045,0.45286327600479126,0.21660642325878143
13,2449,0.25611382722854614,0.834290623664856,0.46522387862205505,0.21643325686454773,,,,
13,2499,0.20946788787841797,0.8398818969726562,0.27901819348335266,0.07785115391016006,,,,
13,2549,0.3052119016647339,0.6690973043441772,0.43295276165008545,0.18744809925556183,,,,
13,2599,0.3418988883495331,0.5731168985366821,0.5158587694168091,0.26611027121543884,,,,
13,2603,,,,,0.315140038728714,0.5134850144386292,0.4928223490715027,0.25552400946617126
14,2649,0.2048715054988861,0.8376880884170532,0.28490519523620605,0.08117097616195679,,,,
14,2699,0.2422144114971161,0.7902178168296814,0.3084304928779602,0.09512937068939209,,,,
14,2749,0.28880569338798523,0.7553352117538452,0.49616414308547974,0.24617886543273926,,,,
14,2789,,,,,0.45878681540489197,0.20923548936843872,0.6247071027755737,0.4026108980178833
15,2799,0.39868974685668945,0.7256985902786255,0.5630078911781311,0.3169778883457184,,,,
15,2849,0.25209856033325195,0.5029232501983643,0.3329436182975769,0.11085145175457001,,,,
15,2899,0.2882702648639679,0.5893065333366394,0.3557375967502594,0.12654924392700195,,,,
15,2949,0.21631422638893127,0.8401708602905273,0.27837494015693665,0.0774926096200943,,,,
15,2975,,,,,0.3067009747028351,0.526515007019043,0.4760147035121918,0.23976075649261475
16,2999,0.2756774425506592,0.690082311630249,0.35178688168525696,0.12375400215387344,,,,
16,3049,0.3126884698867798,0.4811587333679199,0.4050391912460327,0.16405674815177917,,,,
16,3099,0.3487812280654907,0.6054335236549377,0.4034235179424286,0.16275054216384888,,,,
16,3149,0.2588770091533661,0.8017867803573608,0.33713096380233765,0.11365728080272675,,,,
16,3161,,,,,0.2830900251865387,0.5700790286064148,0.46044108271598816,0.22742049396038055
17,3199,0.2538129687309265,0.4889511466026306,0.3270099461078644,0.10693550109863281,,,,
17,3249,0.21136048436164856,0.7721564769744873,0.28828132152557373,0.08310611546039581,,,,
17,3299,0.19625017046928406,0.7655047178268433,0.25681430101394653,0.0659535825252533,,,,
17,3347,,,,,0.2952333688735962,0.5802386999130249,0.4573725461959839,0.22204527258872986
18,3349,0.19188806414604187,0.8658924698829651,0.25284242630004883,0.06392928957939148,,,,
18,3399,0.21546462178230286,0.6711326241493225,0.3001919388771057,0.09011520445346832,,,,
18,3449,0.18630750477313995,0.8310755491256714,0.23682552576065063,0.056086331605911255,,,,
