feature,gain,weight,cover,gain_normalized
MagpieData maximum Electronegativity,0.33461692929267883,450.0,11820.4267578125,0.004874216078461166
MagpieData avg_dev CovalentRadius,0.3259124755859375,1715.0,8304.44921875,0.004747422170270975
MagpieData maximum CovalentRadius,0.3199431300163269,761.0,9747.1826171875,0.004660469366613401
MagpieData avg_dev Column,0.31221529841423035,1499.0,16304.8525390625,0.00454790147853254
MagpieData range MendeleevNumber,0.31149423122406006,1105.0,10393.4990234375,0.0045373980132733015
MagpieData mode NpUnfilled,0.3064316213130951,125.0,8836.9921875,0.004463653224929318
MagpieData range NpUnfilled,0.30578261613845825,125.0,7225.7841796875,0.004454199455020227
MagpieData maximum SpaceGroupNumber,0.3041054904460907,283.0,4444.72802734375,0.0044297695105083995
MagpieData avg_dev SpaceGroupNumber,0.28924116492271423,2124.0,9166.0458984375,0.0042132474875053415
MagpieData mean NdValence,0.28692927956581116,1091.0,5097.0126953125,0.0041795712810982245
MagpieData maximum NdValence,0.28675538301467896,249.0,5595.6708984375,0.004177038207331427
MagpieData mean NfUnfilled,0.28415295481681824,214.0,21513.78125,0.004139129792500573
MagpieData avg_dev MendeleevNumber,0.278679758310318,1961.0,8753.96484375,0.004059404171716972
MagpieData maximum AtomicWeight,0.2726912498474121,141.0,4618.7802734375,0.003972172230710289
MagpieData maximum NfValence,0.2717059254646301,60.0,2519.63330078125,0.003957819448383322
MagpieData minimum NdValence,0.2705770432949066,102.0,10753.087890625,0.003941375523582549
MagpieData mean GSmagmom,0.2594502866268158,753.0,23465.587890625,0.0037792970048196916
MagpieData maximum GSvolume_pa,0.2584660053253174,683.0,10634.8037109375,0.0037649594165941537
MagpieData mean NsUnfilled,0.2503345012664795,304.0,11097.75,0.0036465114112602913
MagpieData range NValence,0.24981558322906494,637.0,8287.2841796875,0.0036389525628579824
MagpieData mean NsValence,0.24849385023117065,597.0,9010.669921875,0.0036196994657615887
MagpieData range NdValence,0.24215182662010193,127.0,4146.0078125,0.003527318026722043
MagpieData avg_dev NUnfilled,0.24050992727279663,1339.0,9335.80078125,0.0035034012087213303
MagpieData maximum GSmagmom,0.23909175395965576,198.0,4827.20703125,0.003482743308418535
MagpieData mode NdUnfilled,0.23891815543174744,55.0,28809.328125,0.0034802145758235747
MagpieData mode NfValence,0.23805992305278778,9.0,96214.21875,0.003467713086226429
MagpieData avg_dev NValence,0.23337942361831665,1376.0,8891.11328125,0.0033995343313530527
MagpieData avg_dev AtomicWeight,0.23241271078586578,646.0,8852.24609375,0.0033854526552072966
MagpieData avg_dev GSmagmom,0.22704635560512543,353.0,24616.919921875,0.003307283344527204
MagpieData minimum NpValence,0.2253355234861374,3.0,2060.0,0.00328236241348063
MagpieData range Row,0.21548381447792053,86.0,32051.255859375,0.0031388569472459243
MagpieData mode NsValence,0.21429669857025146,40.0,4317.2001953125,0.003121564757468232
MagpieData mean AtomicWeight,0.21402010321617126,576.0,6006.07470703125,0.0031175357158864593
MagpieData range AtomicWeight,0.2111232727766037,438.0,21774.748046875,0.0030753388744565813
MagpieData avg_dev NsValence,0.21079464256763458,360.0,8842.349609375,0.0030705518642720957
MagpieData avg_dev NfValence,0.19691261649131775,338.0,33849.8828125,0.0028683385607018597
MagpieData maximum NfUnfilled,0.1947314739227295,126.0,3257.833251953125,0.002836566826379565
MagpieData maximum NsUnfilled,0.1947101652622223,10.0,25745.30078125,0.002836256432593231
MagpieData mode GSmagmom,0.19445142149925232,25.0,8559.0,0.0028324874272044847
MagpieData range NUnfilled,0.19171299040317535,420.0,15623.90234375,0.002792597918605888
MagpieData avg_dev NsUnfilled,0.19103434681892395,245.0,25846.16796875,0.0027827124191576237
MagpieData range NfValence,0.18184947967529297,28.0,9485.7861328125,0.002648920541966444
MagpieData range GSmagmom,0.18135087192058563,64.0,45856.59375,0.0026416575444248155
MagpieData avg_dev NfUnfilled,0.17645259201526642,99.0,9144.3134765625,0.0025703064782316666
MagpieData range NdUnfilled,0.17519618570804596,72.0,4858.70849609375,0.0025520049660019088
MagpieData range NsUnfilled,0.17506267130374908,3.0,46.33333206176758,0.0025500601210190037
MagpieData avg_dev Number,0.15873679518699646,1516.0,2994.06201171875,0.002312248340152297
MagpieData maximum NsValence,0.15372346341609955,8.0,427.0,0.0022392213645715353
MagpieData range NfUnfilled,0.14814618229866028,27.0,31723.0,0.002157979589523918
