epoch,step,test_MAE,test_R2,test_RMSE,test_loss,train_MAE,train_R2,train_RMSE,train_loss,val_MAE,val_R2,val_RMSE,val_loss
0,23,,,,,,,,,1.8191262483596802,-0.4712272584438324,2.0616984367370605,4.254927635192871
1,47,,,,,,,,,1.4829468727111816,-0.015750817954540253,1.7129020690917969,2.937739610671997
2,49,,,,,1.4904377460479736,0.053033411502838135,1.7227565050125122,2.9678897857666016,,,,
2,71,,,,,,,,,1.1033480167388916,0.3887917697429657,1.3287771940231323,1.7686882019042969
3,95,,,,,,,,,0.9149686694145203,0.5339794158935547,1.1595629453659058,1.349533200263977
4,99,,,,,0.7862050533294678,0.6314048767089844,1.0056828260421753,1.0113978385925293,,,,
4,119,,,,,,,,,0.8089574575424194,0.6188890933990479,1.048460602760315,1.1030619144439697
5,143,,,,,,,,,0.7271974086761475,0.6849368214607239,0.9531128406524658,0.9123048186302185
6,149,,,,,0.8148317337036133,0.6069974899291992,1.0886002779006958,1.1850504875183105,,,,
6,167,,,,,,,,,0.6848832964897156,0.7040225267410278,0.9208188056945801,0.8572964668273926
7,191,,,,,,,,,0.6587437391281128,0.723918080329895,0.8887379169464111,0.7994920015335083
8,199,,,,,0.6596590280532837,0.7106117010116577,0.9021377563476562,0.8138525485992432,,,,
8,215,,,,,,,,,0.6557188630104065,0.7296966910362244,0.8815699219703674,0.7826183438301086
9,239,,,,,,,,,0.658322811126709,0.7278945446014404,0.8838392496109009,0.7877882719039917
10,249,,,,,0.7133041620254517,0.6797351837158203,0.95522540807724,0.9124556183815002,,,,
10,263,,,,,,,,,0.657730221748352,0.7204666137695312,0.8949353694915771,0.8093019127845764
11,287,,,,,,,,,0.655087947845459,0.7316160202026367,0.8777801990509033,0.7771456241607666
12,299,,,,,0.6260749101638794,0.7692363858222961,0.8261762261390686,0.6825671195983887,,,,
12,311,,,,,,,,,0.6433722972869873,0.7330074906349182,0.8740079998970032,0.7726467251777649
13,335,,,,,,,,,0.6378375887870789,0.7399680614471436,0.8632094860076904,0.7530174851417542
14,349,,,,,0.6588883399963379,0.7668997645378113,0.8827043175697327,0.7791669368743896,,,,
14,359,,,,,,,,,0.6474564075469971,0.7318056225776672,0.8764876127243042,0.7767431139945984
15,383,,,,,,,,,0.6558400988578796,0.7276849150657654,0.8843213319778442,0.7885351181030273
16,399,,,,,0.6041752696037292,0.816527247428894,0.7692532539367676,0.5917505621910095,,,,
16,407,,,,,,,,,0.6597697138786316,0.7322477698326111,0.877347469329834,0.7751613259315491
17,431,,,,,,,,,0.6321794390678406,0.7424764633178711,0.8591614365577698,0.7455596923828125
18,449,,,,,0.5981355905532837,0.8051222562789917,0.7615900635719299,0.5800194144248962,,,,
18,455,,,,,,,,,0.6339723467826843,0.7460677027702332,0.8543868064880371,0.7350273728370667
19,479,,,,,,,,,0.6025360226631165,0.7650161981582642,0.8210763931274414,0.6802953481674194
20,499,,,,,0.6072302460670471,0.7421808838844299,0.8241085410118103,0.6791548728942871,,,,
20,503,,,,,,,,,0.6223114728927612,0.7481537461280823,0.8493307828903198,0.7295116186141968
21,527,,,,,,,,,0.615811824798584,0.752475380897522,0.8425281643867493,0.7161718606948853
22,549,,,,,0.6181033253669739,0.7082094550132751,0.8495298027992249,0.7217008471488953,,,,
22,551,,,,,,,,,0.5921286344528198,0.7686429619789124,0.8155475854873657,0.6692456007003784
23,575,,,,,,,,,0.6019924879074097,0.7628241181373596,0.8252601623535156,0.6866886019706726
24,599,,,,,0.5568640828132629,0.7964450120925903,0.7408654093742371,0.5488815903663635,,,,
24,599,,,,,,,,,0.6051774024963379,0.762017548084259,0.8268576264381409,0.6885730028152466
25,623,,,,,,,,,0.6049307584762573,0.7656857371330261,0.8211365938186646,0.6782905459403992
26,647,,,,,,,,,0.5940960049629211,0.7718444466590881,0.8099916577339172,0.6604753136634827
27,649,,,,,0.5765707492828369,0.7349574565887451,0.8356702327728271,0.6983447074890137,,,,
27,671,,,,,,,,,0.6015190482139587,0.7692241072654724,0.8146656155586243,0.6677231788635254
28,695,,,,,,,,,0.5950303077697754,0.7677506804466248,0.8175756335258484,0.6722732782363892
29,699,,,,,0.5823876857757568,0.7872618436813354,0.7697538137435913,0.5925209522247314,,,,
29,719,,,,,,,,,0.6139004230499268,0.7563655376434326,0.8357236385345459,0.7054579257965088
30,743,,,,,,,,,0.5906485915184021,0.7759929895401001,0.8025574088096619,0.6483927369117737
31,749,,,,,0.6140428781509399,0.779561460018158,0.856835663318634,0.7341673970222473,,,,
31,767,,,,,,,,,0.5899122953414917,0.7717832326889038,0.8101756572723389,0.6602481007575989
32,791,,,,,,,,,0.5952504277229309,0.7721782326698303,0.8086385726928711,0.659011721611023
33,799,,,,,0.619720458984375,0.6877111196517944,0.9241936206817627,0.8541338443756104,,,,
33,815,,,,,,,,,0.6030064821243286,0.7631462216377258,0.8254454731941223,0.6856634020805359
34,839,,,,,,,,,0.5853330492973328,0.7746737599372864,0.8053140640258789,0.6520555019378662
35,849,,,,,0.554692268371582,0.8111334443092346,0.747731626033783,0.5591025948524475,,,,
35,863,,,,,,,,,0.5827245116233826,0.7723369002342224,0.8091166615486145,0.6590348482131958
36,887,,,,,,,,,0.5838595032691956,0.7737450003623962,0.8062835931777954,0.6544063091278076
37,899,,,,,0.5438662767410278,0.7960857152938843,0.7931911945343018,0.6291522979736328,,,,
37,911,,,,,,,,,0.5747331976890564,0.7874352931976318,0.7818926572799683,0.6151093244552612
38,935,,,,,,,,,0.589576005935669,0.7778283357620239,0.7995536923408508,0.6426877975463867
39,949,,,,,0.582131564617157,0.8056368827819824,0.7977368235588074,0.6363840103149414,,,,
39,959,,,,,,,,,0.5811571478843689,0.7765483260154724,0.8024687767028809,0.6465834379196167
40,983,,,,,,,,,0.5811799764633179,0.7817926406860352,0.7933267951011658,0.6311938166618347
41,999,,,,,0.5802797079086304,0.8176712989807129,0.7605835199356079,0.5784872770309448,,,,
41,1007,,,,,,,,,0.5746274590492249,0.7847268581390381,0.7872775793075562,0.623023271560669
42,1031,,,,,,,,,0.5766479969024658,0.7825906276702881,0.7905741333961487,0.6288663148880005
